Setup done!
t423627, T45.7500000000, u2.0000000000
t424627, T45.7500000000, u2.0000000000
t425627, T45.7500000000, u2.0000000000
t426627, T45.7500000000, u2.0000000000
t427627, T45.7500000000, u2.0000000000
t428627, T45.7500000000, u2.0000000000
t429627, T46.0000000000, u2.0000000000
t430627, T46.0000000000, u2.0000000000
t431627, T46.0000000000, u2.0000000000
t432627, T46.0000000000, u2.0000000000
t433627, T46.0000000000, u2.0000000000
t434627, T46.0000000000, u2.0000000000
t435627, T46.0000000000, u2.0000000000
t436627, T46.0000000000, u2.0000000000
t437627, T46.0000000000, u2.0000000000
t438627, T46.0000000000, u2.0000000000
t439627, T46.0000000000, u2.0000000000
t440627, T46.0000000000, u2.0000000000
t441627, T46.2500000000, u2.0000000000
t442627, T46.0000000000, u2.0000000000
t443627, T46.2500000000, u2.0000000000
t444627, T46.2500000000, u2.0000000000
t445627, T46.2500000000, u2.0000000000
t446627, T46.2500000000, u2.0000000000
t447627, T46.2500000000, u2.0000000000
t448627, T46.2500000000, u2.0000000000
t449627, T46.2500000000, u2.0000000000
t450627, T46.2500000000, u2.0000000000
t451627, T46.2500000000, u2.0000000000
t452627, T46.2500000000, u2.0000000000
t453627, T46.2500000000, u2.0000000000
t454627, T46.5000000000, u2.0000000000
t455627, T46.5000000000, u2.0000000000
t456627, T46.5000000000, u2.0000000000
t457627, T46.5000000000, u2.0000000000
t458627, T46.5000000000, u2.0000000000
t459627, T46.5000000000, u2.0000000000
t460627, T46.5000000000, u2.0000000000
t461627, T46.5000000000, u2.0000000000
t462627, T46.5000000000, u2.0000000000
t463627, T46.5000000000, u2.0000000000
t464627, T46.5000000000, u2.0000000000
t465627, T46.5000000000, u2.0000000000
t466627, T46.5000000000, u2.0000000000
t467627, T46.5000000000, u2.0000000000
t468627, T46.5000000000, u2.0000000000
t469627, T46.7500000000, u2.0000000000
t470627, T46.7500000000, u2.0000000000
t471627, T46.7500000000, u2.0000000000
t472627, T46.7500000000, u2.0000000000
t473627, T46.7500000000, u2.0000000000
t474627, T46.7500000000, u2.0000000000
t475627, T46.7500000000, u2.0000000000
t476627, T46.7500000000, u2.0000000000
t477627, T46.7500000000, u2.0000000000
t478627, T46.7500000000, u2.0000000000
t479627, T46.7500000000, u2.0000000000
t480627, T46.7500000000, u2.0000000000
t481627, T46.7500000000, u2.0000000000
t482627, T46.7500000000, u2.0000000000
t483627, T46.7500000000, u2.0000000000
t484627, T47.0000000000, u2.0000000000
t485627, T47.0000000000, u2.0000000000
t486627, T47.0000000000, u2.0000000000
t487627, T47.0000000000, u2.0000000000
t488627, T47.0000000000, u2.0000000000
t489627, T47.0000000000, u2.0000000000
t490627, T47.0000000000, u2.0000000000
t491627, T47.0000000000, u2.0000000000
t492627, T47.0000000000, u2.0000000000
t493627, T47.0000000000, u2.0000000000
t494627, T47.0000000000, u2.0000000000
t495627, T47.0000000000, u2.0000000000
t496627, T47.0000000000, u2.0000000000
t497627, T47.0000000000, u2.0000000000
t498627, T47.0000000000, u2.0000000000
t499627, T47.0000000000, u2.0000000000
t500627, T47.2500000000, u2.0000000000
t501627, T47.2500000000, u2.0000000000
t502627, T47.2500000000, u2.0000000000
t503627, T47.2500000000, u2.0000000000
t504627, T47.2500000000, u2.0000000000
t505627, T47.2500000000, u2.0000000000
t506627, T47.2500000000, u2.0000000000
t507627, T47.2500000000, u2.0000000000
t508627, T47.2500000000, u2.0000000000
t509627, T47.2500000000, u2.0000000000
t510627, T47.2500000000, u2.0000000000
t511627, T47.2500000000, u2.0000000000
t512627, T47.2500000000, u2.0000000000
t513627, T47.2500000000, u2.0000000000
t514627, T47.2500000000, u2.0000000000
t515627, T47.2500000000, u2.0000000000
t516627, T47.2500000000, u2.0000000000
t517627, T47.2500000000, u2.0000000000
t518627, T47.5000000000, u2.0000000000
t519627, T47.5000000000, u2.0000000000
t520627, T47.5000000000, u2.0000000000
t521627, T47.5000000000, u2.0000000000
